"booking_id","incomplete_rides_reason"
"CNR5176704322","Customer Demand"
"CNR9312632867","Vehicle Breakdown"
"CNR7924302885","Customer Demand"
"CNR1640228587","Other Issue"
"CNR7623690602","Other Issue"
"CNR9590311980","Customer Demand"
"CNR5863244684","Customer Demand"
"CNR9526078867","Customer Demand"
"CNR7154043084","Customer Demand"
"CNR3193710797","Other Issue"
"CNR7073850950","Customer Demand"
"CNR9952584604","Customer Demand"
"CNR5433575259","Vehicle Breakdown"
"CNR3575066041","Vehicle Breakdown"
"CNR7537935962","Customer Demand"
"CNR2722435581","Vehicle Breakdown"
"CNR5495479048","Other Issue"
"CNR6585703917","Customer Demand"
"CNR3178581771","Customer Demand"
"CNR7582255360","Vehicle Breakdown"
"CNR8535011317","Customer Demand"
"CNR5106611023","Other Issue"
"CNR7127343811","Vehicle Breakdown"
"CNR6315774432","Other Issue"
"CNR7333194442","Other Issue"
"CNR7296216469","Customer Demand"
"CNR3151562230","Vehicle Breakdown"
"CNR3515016228","Vehicle Breakdown"
"CNR9753708858","Customer Demand"
"CNR1931024373","Vehicle Breakdown"
"CNR2421723113","Customer Demand"
"CNR7326154593","Customer Demand"
"CNR2169559650","Customer Demand"
"CNR4352340785","Customer Demand"
"CNR4411647638","Customer Demand"
"CNR1846263435","Customer Demand"
"CNR5513264155","Vehicle Breakdown"
"CNR4326236808","Customer Demand"
"CNR2360764819","Other Issue"
"CNR3911087012","Vehicle Breakdown"
"CNR3159364886","Other Issue"
"CNR5418361098","Customer Demand"
"CNR4151362962","Vehicle Breakdown"
"CNR1336121712","Vehicle Breakdown"
"CNR8364233070","Customer Demand"
"CNR8961902697","Customer Demand"
"CNR4758490593","Vehicle Breakdown"
"CNR5646234144","Vehicle Breakdown"
"CNR4364490005","Other Issue"
"CNR3373281151","Other Issue"
"CNR7927516464","Customer Demand"
"CNR6650070370","Customer Demand"
"CNR7352918754","Customer Demand"
"CNR6134754007","Other Issue"
"CNR9795691796","Customer Demand"
"CNR4995095374","Other Issue"
"CNR4950614522","Customer Demand"
"CNR6087397814","Customer Demand"
"CNR5815010795","Customer Demand"
"CNR1700239819","Other Issue"
"CNR4599449178","Customer Demand"
"CNR4862110541","Vehicle Breakdown"
"CNR6833603387","Other Issue"
"CNR7410841462","Vehicle Breakdown"
"CNR1839795660","Other Issue"
"CNR9855679187","Other Issue"
"CNR1772132732","Vehicle Breakdown"
"CNR9541683406","Vehicle Breakdown"
"CNR7021692251","Vehicle Breakdown"
"CNR5006774010","Vehicle Breakdown"
"CNR8369726311","Customer Demand"
"CNR3258409663","Other Issue"
"CNR4527385943","Vehicle Breakdown"
"CNR1085763856","Other Issue"
"CNR7968869092","Customer Demand"
"CNR4004014081","Customer Demand"
"CNR7052352832","Customer Demand"
"CNR3110024297","Customer Demand"
"CNR8048924113","Vehicle Breakdown"
"CNR2597363564","Customer Demand"
"CNR6281440516","Customer Demand"
"CNR3880492652","Vehicle Breakdown"
"CNR1209656922","Other Issue"
"CNR9176692818","Other Issue"
"CNR5907562549","Other Issue"
"CNR7557520543","Customer Demand"
"CNR5065783813","Vehicle Breakdown"
"CNR5414766140","Vehicle Breakdown"
"CNR5730239489","Vehicle Breakdown"
"CNR1504201218","Vehicle Breakdown"
"CNR8615495028","Vehicle Breakdown"
"CNR4006617648","Customer Demand"
"CNR1622434075","Customer Demand"
"CNR7938758601","Other Issue"
"CNR8006881850","Vehicle Breakdown"
"CNR9640315014","Vehicle Breakdown"
"CNR8753734820","Vehicle Breakdown"
"CNR5333107861","Customer Demand"
"CNR8625802620","Vehicle Breakdown"
"CNR9836092184","Customer Demand"
"CNR5578200429","Customer Demand"
"CNR1873386426","Customer Demand"
"CNR5373989663","Vehicle Breakdown"
"CNR2986109861","Vehicle Breakdown"
"CNR4480328835","Vehicle Breakdown"
"CNR1552405092","Customer Demand"
"CNR5598157766","Vehicle Breakdown"
"CNR2711037474","Customer Demand"
"CNR8427552510","Vehicle Breakdown"
"CNR2572814657","Customer Demand"
"CNR2871343860","Other Issue"
"CNR4510398550","Customer Demand"
"CNR3824550473","Customer Demand"
"CNR8216286989","Vehicle Breakdown"
"CNR8462307212","Vehicle Breakdown"
"CNR2810464596","Customer Demand"
"CNR1883269272","Other Issue"
"CNR9711740579","Vehicle Breakdown"
"CNR7245405406","Vehicle Breakdown"
"CNR3146257526","Vehicle Breakdown"
"CNR5142406120","Vehicle Breakdown"
"CNR3159238891","Customer Demand"
"CNR5180141101","Vehicle Breakdown"
"CNR8562176172","Other Issue"
"CNR7885653859","Customer Demand"
"CNR9312835654","Customer Demand"
"CNR4382817929","Vehicle Breakdown"
"CNR3632749285","Vehicle Breakdown"
"CNR4348046220","Vehicle Breakdown"
"CNR7876087637","Vehicle Breakdown"
"CNR2468425659","Other Issue"
"CNR7338064233","Customer Demand"
"CNR3462727816","Vehicle Breakdown"
"CNR6992303889","Customer Demand"
"CNR4772708236","Customer Demand"
"CNR5502014111","Vehicle Breakdown"
"CNR5030689232","Other Issue"
"CNR8816822803","Other Issue"
"CNR7486087810","Customer Demand"
"CNR2538372739","Vehicle Breakdown"
"CNR6977415809","Vehicle Breakdown"
"CNR4264595133","Vehicle Breakdown"
"CNR3424299317","Vehicle Breakdown"
"CNR7090974474","Other Issue"
"CNR8903120478","Vehicle Breakdown"
"CNR6194284068","Vehicle Breakdown"
"CNR2243308941","Customer Demand"
"CNR6506365959","Customer Demand"
"CNR9954051601","Vehicle Breakdown"
"CNR3433349099","Other Issue"
"CNR7764685648","Vehicle Breakdown"
"CNR2909409093","Other Issue"
"CNR9926102968","Customer Demand"
"CNR2051340241","Customer Demand"
"CNR5161523670","Vehicle Breakdown"
"CNR2651533587","Customer Demand"
"CNR8098426437","Other Issue"
"CNR5208694292","Customer Demand"
"CNR6857150861","Customer Demand"
"CNR7748898380","Vehicle Breakdown"
"CNR7477352654","Customer Demand"
"CNR2392191213","Customer Demand"
"CNR2111262104","Vehicle Breakdown"
"CNR3699747358","Vehicle Breakdown"
"CNR4448276113","Other Issue"
"CNR6816531454","Vehicle Breakdown"
"CNR5274882008","Other Issue"
"CNR6776533122","Vehicle Breakdown"
"CNR3426325185","Customer Demand"
"CNR1294235390","Customer Demand"
"CNR1963031493","Vehicle Breakdown"
"CNR6975670823","Customer Demand"
"CNR9282510502","Customer Demand"
"CNR5959867123","Vehicle Breakdown"
"CNR6056321360","Customer Demand"
"CNR2297378707","Customer Demand"
"CNR1155811297","Vehicle Breakdown"
"CNR9169384027","Vehicle Breakdown"
"CNR4430675311","Customer Demand"
"CNR1270358333","Customer Demand"
"CNR7799250991","Other Issue"
"CNR1410338097","Vehicle Breakdown"
"CNR6988336476","Customer Demand"
"CNR7826889528","Customer Demand"
