"date","time","booking_id","booking_status","customer_id","vehicle_type","pickup_location","drop_location","v_tat","c_tat","canceled_rides_by_customer","canceled_rides_by_driver","incomplete_rides","incomplete_rides_reason","booking_value","payment_method","ride_distance","driver_ratings","customer_rating"
"2024-07-30 19:59:00","19:59:00","CNR2982357879","Success","CID270156","Prime SUV","Sahakar Nagar","Varthur",238,130,NULL,NULL,"No",NULL,386,"UPI",40,"4.2","4.8"
"2024-07-13 04:42:00","04:42:00","CNR8787177882","Success","CID802429","Mini","Kadugodi","Vijayanagar",231,90,NULL,NULL,"No",NULL,173,"UPI",41,"3.4","4.6"
"2024-07-27 13:18:00","13:18:00","CNR4524472111","Success","CID540929","Auto","Cox Town","Yelahanka",126,35,NULL,NULL,"No",NULL,330,"UPI",8,"3.0","4.8"
"2024-07-16 09:54:00","09:54:00","CNR8181602032","Success","CID167642","Bike","Indiranagar","MG Road",70,95,NULL,NULL,"No",NULL,378,"UPI",18,"4.8","4.1"
"2024-07-02 10:25:00","10:25:00","CNR8090918544","Success","CID640151","Bike","Magadi Road","HSR Layout",126,95,NULL,NULL,"No",NULL,343,"UPI",23,"3.7","3.6"
"2024-07-09 11:11:00","11:11:00","CNR9975925287","Success","CID162055","Prime SUV","Magadi Road","RT Nagar",42,30,NULL,NULL,"No",NULL,343,"UPI",17,"3.0","3.8"
"2024-07-19 21:18:00","21:18:00","CNR4443921904","Success","CID654618","Mini","Tumkur Road","Koramangala",231,50,NULL,NULL,"No",NULL,286,"UPI",44,"4.0","3.3"
"2024-07-25 03:44:00","03:44:00","CNR7194303296","Success","CID538245","Mini","Mysore Road","Hennur",175,50,NULL,NULL,"No",NULL,141,"UPI",35,"4.7","3.1"
"2024-07-15 17:11:00","17:11:00","CNR6494005067","Success","CID805360","Auto","Yelahanka","Malleshwaram",84,60,NULL,NULL,"No",NULL,214,"UPI",2,"3.3","4.5"
"2024-07-14 05:25:00","05:25:00","CNR7142279862","Success","CID378034","eBike","Yeshwanthpur","JP Nagar",210,45,NULL,NULL,"No",NULL,461,"UPI",49,"4.5","3.1"
"2024-07-03 00:58:00","00:58:00","CNR5176704322","Success","CID296026","Prime Plus","KR Puram","Hennur",287,40,NULL,NULL,"Yes","Customer Demand",1102,"UPI",41,"3.1","3.5"
"2024-07-10 21:56:00","21:56:00","CNR7547352327","Success","CID976231","Prime Plus","Hulimavu","Rajarajeshwari Nagar",210,105,NULL,NULL,"No",NULL,444,"UPI",6,"3.8","4.9"
"2024-07-06 15:02:00","15:02:00","CNR1568684278","Success","CID709612","Prime Plus","Bannerghatta Road","Majestic",42,90,NULL,NULL,"No",NULL,680,"UPI",24,"4.7","3.8"
"2024-07-17 03:30:00","03:30:00","CNR1050003752","Success","CID993137","Bike","Chamarajpet","Shivajinagar",308,110,NULL,NULL,"No",NULL,799,"UPI",25,"3.9","4.7"
"2024-07-01 02:45:00","02:45:00","CNR9758857830","Success","CID528642","Prime Plus","HSR Layout","Magadi Road",308,70,NULL,NULL,"No",NULL,618,"UPI",30,"3.5","3.7"
"2024-07-02 04:17:00","04:17:00","CNR8080410192","Success","CID416746","eBike","Jayanagar","JP Nagar",91,120,NULL,NULL,"No",NULL,251,"UPI",9,"5.0","4.4"
"2024-07-18 00:37:00","00:37:00","CNR7825941026","Success","CID234007","Mini","Marathahalli","Langford Town",196,80,NULL,NULL,"No",NULL,316,"UPI",27,"3.1","4.7"
"2024-07-22 13:08:00","13:08:00","CNR9148580255","Success","CID164393","Prime SUV","Tumkur Road","Magadi Road",224,60,NULL,NULL,"No",NULL,138,"UPI",24,"5.0","3.0"
"2024-07-06 01:18:00","01:18:00","CNR7486448495","Success","CID931462","Auto","Ulsoor","Padmanabhanagar",63,65,NULL,NULL,"No",NULL,296,"UPI",5,"4.0","4.3"
"2024-07-29 19:40:00","19:40:00","CNR7924302885","Success","CID517661","Auto","Magadi Road","Nagarbhavi",168,140,NULL,NULL,"Yes","Customer Demand",685,"UPI",7,"4.1","4.9"
"2024-07-16 13:15:00","13:15:00","CNR2830899440","Success","CID808607","Mini","Kadugodi","Frazer Town",133,90,NULL,NULL,"No",NULL,196,"UPI",21,"4.3","3.4"
"2024-07-17 19:55:00","19:55:00","CNR9027465661","Success","CID737388","Prime Sedan","BTM Layout","Majestic",168,30,NULL,NULL,"No",NULL,1695,"UPI",20,"4.5","4.7"
"2024-07-07 01:31:00","01:31:00","CNR2149029235","Success","CID596869","Auto","Chickpet","Hennur",154,135,NULL,NULL,"No",NULL,240,"UPI",4,"4.0","4.9"
"2024-07-03 11:25:00","11:25:00","CNR8836460204","Success","CID716037","eBike","Bellandur","Shantinagar",252,45,NULL,NULL,"No",NULL,536,"UPI",17,"3.9","4.4"
"2024-07-11 10:44:00","10:44:00","CNR3697318609","Success","CID915228","Bike","Sarjapur Road","Chickpet",287,100,NULL,NULL,"No",NULL,188,"UPI",37,"4.9","4.1"
"2024-07-26 09:39:00","09:39:00","CNR4445082348","Success","CID336831","Mini","Yelahanka","BTM Layout",42,40,NULL,NULL,"No",NULL,415,"UPI",22,"3.6","3.1"
"2024-07-26 06:06:00","06:06:00","CNR5528764313","Success","CID808205","Prime SUV","Ramamurthy Nagar","Bannerghatta Road",308,145,NULL,NULL,"No",NULL,2125,"UPI",6,"3.8","4.6"
"2024-07-01 05:03:00","05:03:00","CNR4158584922","Success","CID772392","Auto","Sahakar Nagar","Ramamurthy Nagar",35,45,NULL,NULL,"No",NULL,934,"UPI",12,"3.3","5.0"
"2024-07-13 02:55:00","02:55:00","CNR7623690602","Success","CID526261","Bike","Cox Town","Malleshwaram",259,75,NULL,NULL,"Yes","Other Issue",558,"UPI",41,"3.2","3.2"
"2024-07-08 07:56:00","07:56:00","CNR2098165198","Success","CID619972","Prime Sedan","Yelahanka","Ramamurthy Nagar",217,55,NULL,NULL,"No",NULL,291,"UPI",5,"3.8","3.3"
"2024-07-11 10:50:00","10:50:00","CNR9282027845","Success","CID767941","Bike","Yeshwanthpur","KR Puram",210,85,NULL,NULL,"No",NULL,2416,"UPI",49,"3.1","3.8"
"2024-07-04 03:31:00","03:31:00","CNR5744401218","Success","CID507511","Bike","Yelahanka","Varthur",91,25,NULL,NULL,"No",NULL,220,"UPI",2,"3.4","3.1"
"2024-07-16 10:15:00","10:15:00","CNR7221640450","Success","CID195611","Prime Sedan","RT Nagar","Whitefield",301,145,NULL,NULL,"No",NULL,472,"UPI",16,"3.3","4.5"
"2024-07-30 10:14:00","10:14:00","CNR7500310853","Success","CID377809","Prime Sedan","Jayanagar","Richmond Town",189,85,NULL,NULL,"No",NULL,471,"UPI",39,"3.5","3.7"
"2024-07-13 21:23:00","21:23:00","CNR8925319975","Success","CID388701","Prime Sedan","Yelahanka","Rajajinagar",287,125,NULL,NULL,"No",NULL,442,"UPI",37,"4.1","4.5"
"2024-07-08 07:52:00","07:52:00","CNR5613886410","Success","CID107686","Auto","Marathahalli","KR Puram",266,65,NULL,NULL,"No",NULL,2604,"UPI",10,"3.8","4.1"
"2024-07-05 04:23:00","04:23:00","CNR9762994658","Success","CID443169","Prime Plus","RT Nagar","Sahakar Nagar",231,65,NULL,NULL,"No",NULL,1024,"UPI",4,"4.8","4.1"
"2024-07-23 19:44:00","19:44:00","CNR8116331340","Success","CID777382","Auto","RT Nagar","Sarjapur Road",266,55,NULL,NULL,"No",NULL,252,"UPI",8,"4.0","4.8"
"2024-07-28 10:29:00","10:29:00","CNR3491700602","Success","CID247449","Mini","Richmond Town","Langford Town",84,145,NULL,NULL,"No",NULL,2542,"UPI",2,"3.5","4.1"
"2024-07-17 07:28:00","07:28:00","CNR2976802436","Success","CID592039","Prime SUV","Tumkur Road","Cox Town",168,50,NULL,NULL,"No",NULL,1181,"UPI",10,"3.4","4.9"
"2024-07-10 02:02:00","02:02:00","CNR8097291227","Success","CID734844","Prime Plus","Mysore Road","Rajajinagar",238,25,NULL,NULL,"No",NULL,332,"UPI",38,"3.8","3.4"
"2024-07-15 06:58:00","06:58:00","CNR5876056264","Success","CID568720","Prime SUV","Kadugodi","Shantinagar",231,30,NULL,NULL,"No",NULL,1361,"UPI",47,"4.0","3.9"
"2024-07-10 18:38:00","18:38:00","CNR4880622143","Success","CID602848","eBike","Rajajinagar","Kammanahalli",98,100,NULL,NULL,"No",NULL,296,"UPI",34,"3.3","4.2"
"2024-07-27 03:13:00","03:13:00","CNR2841702950","Success","CID268274","Auto","Sarjapur Road","Sarjapur Road",231,105,NULL,NULL,"No",NULL,337,"UPI",18,"4.5","4.2"
"2024-07-09 14:52:00","14:52:00","CNR2747846957","Success","CID700413","Prime Sedan","Majestic","Malleshwaram",308,140,NULL,NULL,"No",NULL,896,"UPI",45,"4.0","4.1"
"2024-07-30 05:14:00","05:14:00","CNR3124565731","Success","CID578023","Auto","Basavanagudi","Chickpet",189,55,NULL,NULL,"No",NULL,238,"UPI",6,"4.5","3.0"
"2024-07-23 15:38:00","15:38:00","CNR9405757355","Success","CID176162","Auto","Richmond Town","Banashankari",196,145,NULL,NULL,"No",NULL,186,"UPI",15,"4.7","4.6"
"2024-07-10 18:52:00","18:52:00","CNR4166475803","Success","CID615978","Prime SUV","Banashankari","Yelahanka",168,90,NULL,NULL,"No",NULL,193,"UPI",13,"3.8","3.2"
"2024-07-06 12:51:00","12:51:00","CNR3641224150","Success","CID431557","Mini","Majestic","Magadi Road",98,60,NULL,NULL,"No",NULL,395,"UPI",41,"4.3","4.8"
"2024-07-13 10:16:00","10:16:00","CNR8478607960","Success","CID374876","Prime Sedan","Shivajinagar","BTM Layout",35,45,NULL,NULL,"No",NULL,484,"UPI",16,"4.1","4.5"
"2024-07-01 22:15:00","22:15:00","CNR6545513695","Success","CID932866","Prime SUV","Kengeri","Devanahalli",252,125,NULL,NULL,"No",NULL,163,"UPI",23,"4.3","4.3"
"2024-07-30 17:37:00","17:37:00","CNR4330381266","Success","CID215319","Auto","Banashankari","Rajarajeshwari Nagar",168,135,NULL,NULL,"No",NULL,216,"UPI",5,"4.4","4.3"
"2024-07-11 10:25:00","10:25:00","CNR6146948780","Success","CID988392","eBike","Bannerghatta Road","Kammanahalli",196,125,NULL,NULL,"No",NULL,147,"UPI",39,"3.3","3.2"
"2024-07-21 16:24:00","16:24:00","CNR5828080027","Success","CID562246","Prime Plus","Sarjapur Road","Banashankari",287,125,NULL,NULL,"No",NULL,664,"UPI",24,"3.6","4.4"
"2024-07-24 00:10:00","00:10:00","CNR5043719137","Success","CID638458","Mini","Banashankari","Kammanahalli",98,50,NULL,NULL,"No",NULL,159,"UPI",40,"4.0","4.7"
